BIRTH_YEAR;ETHNICITY;GENDER;NAME;COUNT;RANK
30.12.2011;HISPANIC;FEMALE;GERALDINE;13;75
30.12.2011;HISPANIC;FEMALE;GIA;21;67
30.12.2011;HISPANIC;FEMALE;GIANNA;49;42
30.12.2011;HISPANIC;FEMALE;GISELLE;38;51
30.12.2011;HISPANIC;FEMALE;GRACE;36;53
30.12.2011;HISPANIC;FEMALE;GUADALUPE;26;62
30.12.2011;HISPANIC;FEMALE;HAILEY;126;8
30.12.2011;HISPANIC;FEMALE;HALEY;14;74
30.12.2011;HISPANIC;FEMALE;HANNAH;17;71
30.12.2011;HISPANIC;FEMALE;HAYLEE;17;71
30.12.2011;HISPANIC;FEMALE;HAYLEY;13;75
30.12.2011;HISPANIC;FEMALE;HAZEL;10;78
30.12.2011;HISPANIC;FEMALE;HEAVEN;15;73
30.12.2011;HISPANIC;FEMALE;HEIDI;15;73
30.12.2011;HISPANIC;FEMALE;HEIDY;16;72
30.12.2011;HISPANIC;FEMALE;HELEN;13;75
30.12.2011;HISPANIC;FEMALE;IMANI;11;77
30.12.2011;HISPANIC;FEMALE;INGRID;11;77
30.12.2011;HISPANIC;FEMALE;IRENE;11;77
30.12.2011;HISPANIC;FEMALE;IRIS;10;78
30.12.2011;HISPANIC;FEMALE;ISABEL;28;60
30.12.2011;HISPANIC;FEMALE;ISABELA;10;78
30.12.2011;HISPANIC;FEMALE;ISABELLA;331;1
30.12.2011;HISPANIC;FEMALE;ISABELLE;18;70
30.12.2011;HISPANIC;FEMALE;ISIS;13;75
30.12.2011;HISPANIC;FEMALE;ITZEL;27;61
30.12.2011;HISPANIC;FEMALE;IZABELLA;23;65
30.12.2011;HISPANIC;FEMALE;JACQUELINE;30;58
30.12.2011;HISPANIC;FEMALE;JADA;21;67
30.12.2011;HISPANIC;FEMALE;JADE;50;41
30.12.2011;HISPANIC;FEMALE;JAELYNN;11;77
30.12.2011;HISPANIC;FEMALE;JAMIE;11;77
30.12.2011;HISPANIC;FEMALE;JANELLE;12;76
30.12.2011;HISPANIC;FEMALE;JASLENE;11;77
30.12.2011;HISPANIC;FEMALE;JASMIN;20;68
30.12.2011;HISPANIC;FEMALE;JASMINE;41;48
30.12.2011;HISPANIC;FEMALE;JAYDA;10;78
30.12.2011;HISPANIC;FEMALE;JAYLA;33;55
30.12.2011;HISPANIC;FEMALE;JAYLAH;12;76
30.12.2011;HISPANIC;FEMALE;JAYLEEN;51;40
30.12.2011;HISPANIC;FEMALE;JAYLENE;22;66
30.12.2011;HISPANIC;FEMALE;JAYLIN;13;75
30.12.2011;HISPANIC;FEMALE;JAYLYN;10;78
30.12.2011;HISPANIC;FEMALE;JAZLYN;16;72
30.12.2011;HISPANIC;FEMALE;JAZMIN;24;64
30.12.2011;HISPANIC;FEMALE;JAZMINE;14;74
30.12.2011;HISPANIC;FEMALE;JENNIFER;59;34
30.12.2011;HISPANIC;FEMALE;JESSICA;46;44
30.12.2011;HISPANIC;FEMALE;JIMENA;11;77
30.12.2011;HISPANIC;FEMALE;JOCELYN;46;44
30.12.2011;HISPANIC;FEMALE;JOHANNA;12;76
30.12.2011;HISPANIC;FEMALE;JOSELYN;30;58
30.12.2011;HISPANIC;FEMALE;JULIA;22;66
30.12.2011;HISPANIC;FEMALE;JULIANA;16;72
30.12.2011;HISPANIC;FEMALE;JULIANNA;21;67
30.12.2011;HISPANIC;FEMALE;JULIET;20;68
30.12.2011;HISPANIC;FEMALE;JULIETTE;15;73
30.12.2011;HISPANIC;FEMALE;JULISSA;16;72
30.12.2011;HISPANIC;FEMALE;KAELYN;11;77
30.12.2011;HISPANIC;FEMALE;KAILEY;20;68
30.12.2011;HISPANIC;FEMALE;KAILYN;11;77
30.12.2011;HISPANIC;FEMALE;KAITLYN;31;57
30.12.2011;HISPANIC;FEMALE;KAMILA;36;53
30.12.2011;HISPANIC;FEMALE;KAREN;41;48
30.12.2011;HISPANIC;FEMALE;KARLA;25;63
30.12.2011;HISPANIC;FEMALE;KATE;27;61
30.12.2011;HISPANIC;FEMALE;KATELYN;23;65
30.12.2011;HISPANIC;FEMALE;KATELYNN;10;78
30.12.2011;HISPANIC;FEMALE;KATHERINE;60;33
30.12.2011;HISPANIC;FEMALE;KATIE;12;76
30.12.2011;HISPANIC;FEMALE;KAYLA;62;31
30.12.2011;HISPANIC;FEMALE;KAYLEE;83;20
30.12.2011;HISPANIC;FEMALE;KAYLEEN;19;69
30.12.2011;HISPANIC;FEMALE;KAYLEIGH;10;78
30.12.2011;HISPANIC;FEMALE;KAYLIE;15;73
30.12.2011;HISPANIC;FEMALE;KAYLIN;12;76
30.12.2011;HISPANIC;FEMALE;KEILY;17;71
30.12.2011;HISPANIC;FEMALE;KELLY;41;48
30.12.2011;HISPANIC;FEMALE;KEYLA;12;76
30.12.2011;HISPANIC;FEMALE;KHLOE;57;35
30.12.2011;HISPANIC;FEMALE;KIARA;36;53
30.12.2011;HISPANIC;FEMALE;KIMBERLY;103;13
30.12.2011;HISPANIC;FEMALE;KRYSTAL;13;75
30.12.2011;HISPANIC;FEMALE;KYLEE;10;78
30.12.2011;HISPANIC;FEMALE;KYLIE;37;52
30.12.2011;HISPANIC;FEMALE;LAILA;29;59
30.12.2011;HISPANIC;FEMALE;LAURA;14;74
30.12.2011;HISPANIC;FEMALE;LAUREN;21;67
30.12.2011;HISPANIC;FEMALE;LAYLA;52;39
30.12.2011;HISPANIC;FEMALE;LEA;10;78
30.12.2011;HISPANIC;FEMALE;LEAH;123;9
30.12.2011;HISPANIC;FEMALE;LEILA;20;68
30.12.2011;HISPANIC;FEMALE;LEILANI;33;55
30.12.2011;HISPANIC;FEMALE;LESLEY;12;76
30.12.2011;HISPANIC;FEMALE;LESLIE;66;27
30.12.2011;HISPANIC;FEMALE;LESLY;16;72
30.12.2011;HISPANIC;FEMALE;LEYLA;10;78
30.12.2011;HISPANIC;FEMALE;LIA;26;62
30.12.2011;HISPANIC;FEMALE;LIANA;18;70
30.12.2011;HISPANIC;FEMALE;LILIANA;28;60
30.12.2011;HISPANIC;FEMALE;LILY;21;67
30.12.2011;HISPANIC;FEMALE;LINDSAY;12;76
